id	mID	date	location	name	lat	lng	type	infowindow	image	thumb
1	20	"Date: September 8, 2012"	"Location: Navajo County, AZ; I-40, West Window Rock"	Law enforcement agency: Navajo County sheriff	-66.574486	-66.862793		"A Latino family was stopped and questioned about their immigration status.  The passengers remained silent, but felt intimidated when the sheriff asked the driver, ""Does the government know you are in the country?"" ""How many years have you been in the states?"" and ""Do you know that I could send you back to where you are from if you don't have a visa?"" All the passengers were asked for their IDs and detained for an hour. The sheriff did not provide a reason for the stop and let them go with a warning. "	020.png	020.png
2	14	"Date: October 22, 2012"	"Location: Navajo County, AZ; I-40, West Window Rock"	Law enforcement agency: Navajo County sheriff	-67.297501	-69.65332		"Description: A female driver who is a U.S. citizen was pulled over for a traffic stop. The officer asked her ""Are you legal in this country?"" She confirmed her U.S. citizen status but was then cited for not having her infant child securely fastened in a car seat."	008.png	008.png
3	1	"Date: September 8, 2012"	"Location: Tempe, AZ, Southern and 48th St"	Law enforcement Agency: Casa Grande Police	-67.390602	-71.762695		"A male driver was pulled over and did not have ID on him. When his wife came to the traffic stop to provide police with her husband's ID, she too was detained. The couple, parents of three U.S. citizen children, was transferred to ICE detention. The husband was subsequently deported. "	018.png	018.png
4	17	"Date: October 22, 2012"	"Location: Tempe, AZ, Southern and 48th St"	Law enforcement agency: Navajo County sheriff	-67.297501	-71.235352		"A Latino family was stopped and questioned about their immigration status.  The passengers remained silent, but felt intimidated when the sheriff asked the driver, ""Does the government know you are in the country?"" ""How many years have you been in the states?"" and ""Do you know that I could send you back to where you are from if you don't have a visa?"" All the passengers were asked for their IDs and detained for an hour. The sheriff did not provide a reason for the stop and let them go with a warning. "	005.png	005.png
5	12	"Date: August 8, 2012"	"Location: Tempe, AZ, Southern and 48th St"	Law enforcement Agency: Tempe PD 	-67.348328	-70.861816		"During this stop, the officer claimed to be looking for gang members. The driver was arrested for not having a license, detained at a"	015.png	015.png
6	10	"Date: September 8, 2012"	"Location: Navajo County, AZ; I-40, West Window Rock"	Law enforcement Agency: Tempe PD 	-67.55056	-71.520996		"Two men were pulled over and asked for their Social Security cards. The passenger did not have the card, and was arrested and sent to ICE custody.  The driver was given a citation for driving ""over the white line on the road."""	001.png	001.png
7	11	"Date: September 8, 2012"	"Location: Navajo County, AZ; I-40, West Window Rock"	Law enforcement Agency: MCSO	-67.642677	-72.268066		"A male driver was stopped with no explanation provided for the stop. The officer asked him for his immigration paperwork. The driver said he wanted an attorney to be present for the officer's questioning. The officer responded, ""ICE will pick you up then"". ICE was called and the driver's car was towed. The driver was transferred to ICE custody and deported. "	006.png	006.png
8	19	"Date: October 22, 2012"	"Location: Tempe, AZ, Southern and 48th St"	Law enforcement Agency: Tempe PD 	-67.726105	-71.828613		"Two Latino men were pulled over. The passenger was questioned about his immigration status. A CBP officer stated, ""You shut up, go back to where you came from and show me your papers."" The passenger was detained by ICE for more than one month before being released."	014.png	014.png
9	5	"Date: August 8, 2012"	"Location: Navajo County, AZ; I-40, West Window Rock"	Law enforcement Agency: Casa Grande Police	-67.66774	-69.389648		"Description: A female driver who is a U.S. citizen was pulled over for a traffic stop. The officer asked her ""Are you legal in this country?"" She confirmed her U.S. citizen status but was then cited for not having her infant child securely fastened in a car seat."	002.png	002.png
10	4	"Date: September 8, 2012"	"Location: Tempe, AZ, Southern and 48th St"	Law enforcement agency: Navajo County sheriff	-67.709442	-68.620605		A couple was pulled over without explanation after an officer spotted them from an adjacent lane.  The driver was given a traffic citation for not having a license	013.png	013.png
